"X...ID";"ClassNr";"DateSW16";"DateEW16";"DateRW16";"ComplW16";"Grade";"Sex";"AgeW1";"ETH01";"ETH03";"EduLevel";"CnstCD";"StateW16";"NAccID";"NAccAD";"NAccSD";"WebD";"MailD";"CheckD";"ErrorD";"UseablD";"TypeD1";"TypeD2";"TypeD3";"TypeOD1";"TypeOD2";"TypeOD3";"StateW1";"StateW2";"StateW3";"StateW4";"StateW5";"StateW6";"StateW7";"StateW8";"StateW9";"StateW10";"StateW11";"StateW12";"StateW13";"StateW14";"StateW15";"ComplW1";"ComplW2";"ComplW3";"ComplW4";"ComplW5";"ComplW6";"ComplW7";"ComplW8";"ComplW9";"ComplW10";"ComplW11";"ComplW12";"ComplW13";"ComplW14";"ComplW15";"DateRW13";"DateRW14";"BirthM";"BirthY";"BirthD";"ETH02";"ETH04";"AWB01W1";"AWB01W14";"CWB01W1";"CWB01W14";"PAF01W1";"NAF01W1";"PAF02W1";"NAF02W1";"PAF03W1";"NAF03W1";"PAF04W1";"NAF04W1";"PAF05W1";"NAF05W1";"PAF06W1";"NAF06W1";"PAF07W1";"NAF07W1";"SEE01W1";"SEE02W1";"SEE03W1";"SEE04W1";"SEE01W1R";"SEE04W1R";"SEE01W14";"SEE02W14";"SEE03W14";"SEE04W14";"SEE01W14R";"SEE04W14R";"LON01W1";"LON02W1";"LON03W1";"LON04W1";"LON05W1";"LON01W14";"LON02W14";"LON03W14";"LON04W14";"LON05W14";"SRT01W1";"SRT02W1";"SRT03W1";"SRT04W1";"SRT05W1";"SRT06W1";"SRT07W1";"SRT08W1";"SRT09W1";"SRT01W14";"SRT02W14";"SRT03W14";"SRT04W14";"SRT05W14";"SRT06W14";"SRT07W14";"SRT08W14";"SRT09W14";"SRT02W1R";"SRT04W1R";"SRT05W1R";"SRT07W1R";"SRT08W1R";"SRT02W14R";"SRT04W14R";"SRT05W14R";"SRT07W14R";"SRT08W14R";"SCP01W1";"SCP02W1";"SCP03W1";"MPT01W1";"MPT02W1";"MPT01W14";"MPS01W1";"MPS02W1";"MPS03W1";"MPS04W1";"MPS05W1";"INTGDW1";"INTGFW1";"INTGMW1";"SNTGDW1";"SNTGFW1";"SNTGMW1";"WATGDW1";"WATGFW1";"WATGMW1";"YTTGDW1";"YTTGFW1";"YTTGMW1";"INPD1W1";"INAD1W1";"INPD2W1";"INAD2W1";"INPF1W1";"INAF1W1";"INPF2W1";"INAF2W1";"INAL0W1";"INAL1W1";"INAL2W1";"INAL3W1";"INAL4W1";"INAL5W1";"INC01W1";"INC01W13";"INF01W1";"INF02W1";"INL01W1";"FBI01W1";"FBI01W1R";"FBI02W1";"IFI01W1";"IFI02W1";"FNr01W1";"FQS01W1";"FQS02W1";"FQC01W1";"FQC02W1";"FQC01W1R";"FQC02W1R";"PRU01W1";"PRU02W1";"PRU03W1";"PRU04W1";"PRU05W1";"PRU01W14";"PRU02W14";"PRU03W14";"PRU04W14";"PRU05W14";"PMK01W1";"PMK02W1";"PMK03W1";"PMK04W1";"PMK01W14";"PMK02W14";"PMK03W14";"PMK04W14";"ADS05W1";"ADS06W1";"ADS07W1";"ADS08W1";"ADS05W14";"ADS06W14";"ADS07W14";"ADS08W14";"NCompletedE1";"NCompletedE2"
221;3;"2020/06/23 11:17:40";"2020/06/23 16:27:20";"2020/06/23 16:27:21";100;8;"Meisje";"13,35247";"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"Ja, ik wil doorgaan";"completed";1;0;0;"Via de Instagram website";"Nee, ik heb de mail nog niet ontvangen";"Ja";NA;NA;NA;NA;NA;NA;NA;NA;"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"fully expired";"completed";"completed";"completed";"completed";100;100;100;100;100;100;100;100;100;100;0;100;100;100;100;"2020/05/12 08:37:51";"2020/05/21 11:54:13";7;2006;"2006-07-15";NA;NA;5;4;8;5;4;3;4;3;4;4;4;2;4;3;3;3;4;3;2;4;4;2;4;4;1;4;4;1;5;5;1;1;1;1;1;1;1;1;1;1;4;3;4;3;2;3;3;3;4;4;3;4;3;3;4;3;2;2;3;3;4;3;3;3;3;3;3;4;4;3;4;"Ja, ik heb een iPhone";NA;"Ik heb een iPhone";4;1;3;3;2;"7 keer  per week";5;50;"7 keer  per week";"4,0";"50,0";"7 keer  per week";6;30;"6 keer  per week";2;20;"7 dagen";"1 dag";"1 dag";"1 dag";6;1;1;1;NA;8888;8888;8888;8888;8888;"2";"4";"994,000";4;400;"7";7;6;4;4;5;4;4;2;1;4;5;"Nee";"Ja";"Ja";"Nee";"Nee";"Nee";"Ja";"Ja";"Nee";"Nee";3;3;4;3;3;3;3;3;2;2;2;2;2;2;2;2;111;95
18;19;"2020/06/23 11:33:45";"2020/06/23 11:37:10";"2020/06/23 11:37:11";100;8;"Meisje";"13,26772";"Nederland";"Nederlander";"Vmbo";"Nee, ik wil niet meedoen";"completed";NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;"2020/05/05 22:33:16";"2020/05/19 21:53:16";8;2006;"2006-08-15";NA;NA;7;7;9;1;3;1;4;1;3;4;4;1;4;1;3;2;4;2;2;4;4;1;4;5;1;4;4;1;5;5;1;1;1;1;1;1;1;1;1;1;3;3;3;2;3;4;3;2;4;4;3;3;2;2;4;3;2;3;3;4;3;3;4;3;4;4;3;4;4;4;4;"Ja, ik heb een iPhone";NA;"Ik heb een iPhone";4;2;4;3;2;"7 keer  per week";7;30;"7 keer  per week";"2,0";"10,0";"7 keer  per week";5;10;"7 keer  per week";1;30;"7 dagen";"7 dagen";"Nooit";"7 dagen";7;1;1;2;"INAL3W1";8888;8888;1;8888;0;"2";"2";"400,000";4;110;"7";7;6;4;4;5;5;5;1;1;5;5;"Nee";"Ja";"Nee";"Nee";"Nee";"Nee";"Ja";"Nee";"Ja";"Nee";4;4;4;4;2;3;2;2;1;1;1;1;1;1;1;1;123;121
303;2;"2020/06/23 14:52:39";"2020/06/23 15:09:25";"2020/06/23 15:09:27";100;8;"Meisje";"13,84823";"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"Ja, ik wil doorgaan";"completed";1;1;1;"Via de Instagram app";"Nee, ik heb de mail nog niet ontvangen";"Ja";NA;"Fully Useable";"Account om informatie alleen met een kleine groep goede vrienden te delen";NA;NA;NA;NA;NA;"completed";"fully expired";"completed";"completed";"fully expired";"completed";"completed";"completed";"fully expired";"completed";"completed";"completed";"completed";"completed";"completed";100;0;100;100;0;100;100;100;0;100;100;100;100;100;100;"2020/05/05 15:19:31";"2020/05/19 18:39:38";1;2006;"2006-01-15";NA;NA;7;6;10;9;4;1;4;1;5;4;5;1;4;1;5;1;5;1;1;4;4;1;5;5;1;4;4;1;5;5;1;1;1;1;1;1;1;2;2;2;4;1;5;1;3;4;2;2;3;3;3;4;2;4;3;4;3;3;5;5;3;4;4;3;4;2;2;3;3;1;3;"Ja, ik heb een iPhone";NA;"Ik heb een iPhone";3;1;1;3;3;"7 keer  per week";10;120;"7 keer  per week";"2,0";"10,0";"7 keer  per week";10;15;"6 keer  per week";1;10;"7 dagen";"1 dag";"4 dagen";"6 dagen";8;1;1;5;NA;8888;8888;8888;8888;8888;"1";"1";"308,000";1;130;"7";7;7;2;3;15;5;5;1;1;5;5;"Nee";"Ja";"Ja";"Ja";"Nee";"Ja";"Ja";"Ja";"Nee";"Nee";3;3;2;2;3;4;3;3;2;1;1;1;2;2;2;2;61;82
129;4;"2020/06/23 12:02:36";"2020/06/23 14:40:36";"2020/06/23 14:40:37";100;8;"Meisje";"13,26795";"Nederland";"Nederlander";"Havo";"Ja, ik wil doorgaan";"completed";1;1;1;"Via de Instagram app";"Nee, ik heb de mail nog niet ontvangen";"Ja";NA;"Fully Useable";"Anders, namelijk dit account is voor...";NA;NA;"Mijn account staat op privé en dus te zien voor de mensen die ik accepteer.";NA;NA;"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;"2020/05/05 20:35:36";"2020/05/19 14:19:41";8;2006;"2006-08-15";NA;NA;4;4;5;8;1;2;2;2;3;5;4;2;3;1;3;1;4;1;1;2;3;1;5;5;2;1;2;2;4;4;2;4;5;1;1;3;2;1;1;2;5;3;5;1;1;4;1;2;3;4;5;5;2;2;4;1;2;4;3;5;5;5;4;1;4;4;5;4;6;3;4;"Ja, ik heb een andere mobiele telefoon, namelijk:";"Willy fox swift 2+";"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";3;1;2;3;1;"5 keer  per week";3;5;"7 keer  per week";"2,0";"2,0";"7 keer  per week";20;2;"4 keer  per week";1;20;"Nooit";"Nooit";"Nooit";"Nooit";0;0;0;0;"INAL1W1,INAL2W1,INAL3W1,INAL4W1";1;1;1;1;0;"1";"1";"229,000";3;60;"8888";8888;8888;5;3;5;5;5;1;1;5;5;"Ja";"Ja";"Ja";"Nee";"Ja";"Ja";"Ja";"Ja";"Nee";"Ja";4;5;4;4;5;5;4;4;1;1;2;1;2;1;1;2;92;104
268;13;"2020/06/23 11:33:04";"2020/06/23 12:41:43";"2020/06/23 12:41:43";100;8;"Jongen";"13,76360";"Nederland";"Nederlander";"Vmbo";"Nee, ik wil niet meedoen";"completed";NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"fully expired";"completed";"completed";"fully expired";100;100;100;100;100;100;100;100;100;100;100;0;100;100;0;"2020/05/05 15:08:14";"2020/05/20 11:52:26";2;2006;"2006-02-15";NA;NA;7;7;9;1;4;1;4;2;3;1;4;1;4;1;5;2;5;1;1;4;4;1;5;5;1;4;3;1;5;5;1;4;1;1;1;1;1;1;1;1;4;3;4;3;1;3;2;3;3;3;2;4;2;1;1;2;4;1;3;3;5;4;3;4;4;5;4;2;5;6;5;"Ja, ik heb een Android (bijv. Samsung, Motorola, Huawei)";NA;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";5;3;3;3;3;"7 keer  per week";6;20;"7 keer  per week";"4,0";"16,0";"7 keer  per week";10;40;"7 keer  per week";4;120;"7 dagen";"1 dag";"1 dag";"1 dag";5;1;1;1;NA;8888;8888;8888;8888;8888;"2";"3";"560,000";4;133;"7";7;5;5;3;20;5;4;1;1;5;5;"Nee";"Ja";"Ja";"Nee";"Nee";"Nee";"Nee";"Ja";"Ja";"Nee";3;4;2;3;3;3;2;3;3;3;3;3;1;1;1;1;94;NA
90;16;"2020/06/23 11:16:53";"2020/06/23 11:25:44";"2020/06/23 11:25:45";100;8;"Meisje";"13,26829";"Nederland";"Nederlander";"Vmbo";"Ja, ik wil doorgaan";"completed";1;0;0;"Via de Instagram app";"Nee, ik heb de mail nog niet ontvangen";"Nee";NA;NA;NA;NA;NA;NA;NA;NA;"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;"2020/05/05 15:52:28";"2020/05/19 13:18:21";8;2006;"2006-08-15";NA;NA;7;7;10;1;5;1;5;1;5;2;5;1;5;1;5;1;5;1;1;5;5;1;5;5;1;5;5;1;5;5;1;4;4;1;1;1;1;5;1;1;5;1;5;1;2;4;1;1;5;5;1;5;1;1;5;1;1;1;5;5;4;5;5;5;5;5;5;5;1;1;1;"Ja, ik heb een Android (bijv. Samsung, Motorola, Huawei)";NA;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";1;1;1;1;1;"4 keer  per week";3;5;"7 keer  per week";"2,0";"3,0";"7 keer  per week";10;3;"2 keer  per week";2;15;"2 dagen";"1 dag";"Nooit";"Nooit";2;2;0;0;"INAL3W1";8888;8888;1;0;0;"1";"1";"141,000";1;65;"7";7;6;1;1;18;5;5;1;1;5;5;"Ja";"Ja";"Ja";"Ja";"Nee";"Ja";"Nee";"Ja";"Nee";"Nee";3;5;4;5;5;5;5;5;1;1;1;1;1;1;1;1;116;97
51;3;"2020/06/23 11:15:44";"2020/06/23 11:40:10";"2020/06/23 11:40:11";100;8;"Meisje";"13,01573";"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"Ja, ik wil doorgaan";"completed";1;1;1;"Via de Instagram app";"Ja, ik heb de e-mail ontvangen";"Ja";NA;"Fully Useable";"Account om informatie alleen met een kleine groep goede vrienden te delen";NA;NA;NA;NA;NA;"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;"2020/05/06 15:32:16";"2020/05/19 13:38:36";11;2006;"2006-11-15";NA;NA;5;5;6;6;3;1;3;3;4;4;3;2;3;2;3;2;4;3;2;3;3;2;4;4;3;2;2;2;3;4;3;2;2;2;3;3;3;3;3;4;3;3;3;2;3;3;3;2;2;3;3;4;1;1;3;3;2;3;3;4;3;3;4;3;5;5;3;4;5;6;5;"Ja, ik heb een Android (bijv. Samsung, Motorola, Huawei)";NA;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";3;1;1;2;2;"7 keer  per week";2;20;"6 keer  per week";"1,0";"5,0";"7 keer  per week";5;20;"7 keer  per week";2;90;"7 dagen";"Nooit";"Nooit";"Nooit";2;0;0;0;"INAL2W1";8888;1;0;0;0;"1";"1";"35,000";1;30;"8888";8888;8888;2;1;5;3;3;2;2;4;4;"Ja";"Ja";"Ja";"Nee";"Nee";"Nee";"Ja";"Ja";"Nee";"Nee";3;3;2;3;2;3;2;1;3;2;3;2;3;2;2;1;102;114
311;19;"2020/06/23 12:09:26";"2020/06/23 12:16:19";"2020/06/23 12:16:20";100;8;"Meisje";"13,18285";"Nederland";"Nederlander";"Vmbo";NA;"completed";NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"completed";"completed";"completed";"fully expired";"fully expired";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";100;100;100;0;0;100;100;100;100;100;100;100;100;95;100;"2020/05/08 16:07:19";"2020/06/04 11:56:47";9;2006;"2006-09-15";NA;NA;6;6;7;8;3;2;4;3;3;2;5;2;4;2;5;2;5;3;2;4;4;2;4;4;1;3;3;2;5;4;1;1;1;1;1;2;1;1;1;1;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;2;4;"Ja, ik heb een iPhone";NA;"Ik heb een iPhone";4;1;2;4;3;"7 keer  per week";2;5;"7 keer  per week";"4,0";"20,0";"7 keer  per week";10;60;"7 keer  per week";3;180;"7 dagen";"3 dagen";"7 dagen";"2 dagen";3;1;2;1;NA;8888;8888;8888;8888;8888;"3 of meer";"3";"550,000";3;150;"7";7;6;4;3;15;5;5;3;2;3;4;"Ja";"Ja";"Ja";"Ja";"Ja";"Ja";"Ja";"Ja";"Nee";"Ja";3;2;3;2;4;3;3;2;1;1;1;1;2;1;3;3;55;54
132;20;"2020/06/23 11:35:32";"2020/06/23 11:37:55";"2020/06/23 11:37:56";100;8;"Jongen";"13,76338";"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";NA;"completed";NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"fully expired";"completed";"completed";"completed";"completed";100;100;100;100;100;100;100;100;100;100;0;100;100;93;100;"2020/05/11 15:56:42";"2020/06/03 16:47:39";2;2006;"2006-02-15";NA;NA;6;6;8;1;3;1;5;2;4;3;4;2;4;2;4;2;4;2;1;3;4;1;5;5;1;4;4;1;5;5;1;1;1;1;1;1;1;1;1;1;4;2;3;2;2;4;1;1;2;4;3;3;2;2;4;3;3;2;4;4;4;5;5;3;4;4;3;3;1;1;2;"Ja, ik heb een iPhone";NA;"Ik heb een iPhone";2;1;1;2;1;"7 keer  per week";2;10;"Minder dan  1 dag  per week";"1,0";"5,0";"7 keer  per week";4;5;"7 keer  per week";2;30;"7 dagen";"Nooit";"Nooit";"Nooit";2;0;0;0;"INAL5W1";8888;0;0;0;1;"1";"1";"150,000";1;8888;"8888";8888;8888;8888;8888;6;4;3;2;1;4;5;"Ja";"Ja";"Ja";"Ja";"Ja";"Nee";"Ja";"Nee";"Ja";"Nee";2;2;2;2;3;3;2;2;1;1;1;1;3;3;3;3;109;104
12;27;"2020/06/24 12:20:13";"2020/06/24 12:21:41";"2020/06/24 12:21:43";100;8;"Jongen";"13,76348";"Nederland";"Nederlander";"Havo";"Nee, ik wil niet meedoen";"completed";NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"completed";"completed";"completed";"completed";"completed";"fully expired";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";"completed";100;100;100;100;100;0;100;100;100;100;100;100;100;100;100;"2020/05/08 10:50:09";"2020/05/19 18:22:07";2;2006;"2006-02-15";NA;NA;7;6;7;8;4;1;4;1;3;2;5;1;5;1;3;1;4;2;1;4;4;1;5;5;1;4;4;1;5;5;1;1;1;1;1;1;1;1;2;1;4;2;3;4;2;4;3;3;4;4;2;4;2;3;4;2;2;3;4;2;4;3;3;4;4;3;4;4;1;1;1;"Ja, ik heb een Android (bijv. Samsung, Motorola, Huawei)";NA;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";3;2;3;1;1;"7 keer  per week";2;30;"Nooit";"0,0";"0,0";"7 keer  per week";10;30;"7 keer  per week";1;90;"7 dagen";"Nooit";"Nooit";"Nooit";2;0;0;0;"INAL3W1,INAL4W1";8888;0;1;1;0;"1";"1";"150,000";1;8888;"8888";8888;8888;1;1;30;5;4;2;1;4;5;"Nee";"Ja";"Nee";"Ja";"Ja";"Nee";"Ja";"Ja";"Ja";"Ja";3;3;3;3;3;2;3;3;1;1;1;1;1;2;1;1;113;111
