"X...ID";"ClassNr";"Grade";"Sex";"AgeW1";"ETH01";"ETH03";"EduLevel";"StateW16";"TypeD1";"AWB01W14";"CWB01W14";"MPT01W14";"INTGDW1";"INTGFW1";"INTGMW1";"INPD1W1";"INAD1W1";"INPD2W1";"INAD2W1";"INPF1W1";"INAF1W1";"INPF2W1";"INAF2W1";"INAL0W1";"INC01W13";"INF01W1";"INF02W1";"FBI01W1R";"FBI02W1";"IFI01W1";"IFI02W1";"FNr01W1";"NCompletedE1";"NCompletedE2";"donated";"DDPcomp";"intended";"numcompl";"PAF";"NAF";"SEEW14";"LONW14";"SRT14";"SCPW1";"MPSW1";"FQW1";"PRW14";"PMKW14";"ADSW14"
221;"3";"8";"Meisje";13.35247;"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"completed";NA;4;5;"Ik heb een iPhone";"7 keer  per week";5;50;"7 dagen";"1 dag";"1 dag";"1 dag";6;1;1;1;NA;"multiple";994;4;7;6;4;4;5;111;95;0;1;1;94;3.85714285714286;3;4.5;1;3.33333333333333;3.66666666666667;2.6;4.25;2;3;2
18;"19";"8";"Meisje";13.26772;"Nederland";"Nederlander";"Vmbo";"completed";NA;7;1;"Ik heb een iPhone";"7 keer  per week";7;30;"7 dagen";"7 dagen";"Nooit";"7 dagen";7;1;1;2;"INAL3W1";"one";400;4;7;6;4;4;5;123;121;0;1;0;100;3.57142857142857;1.71428571428571;4.5;1;3.55555555555556;4;3;5;2;2.25;1
303;"2";"8";"Meisje";13.84823;"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"completed";"smallgroup";6;9;"Ik heb een iPhone";"7 keer  per week";10;120;"7 dagen";"1 dag";"4 dagen";"6 dagen";8;1;1;5;NA;"none";308;1;7;7;2;3;15;61;82;1;1;1;81;4.57142857142857;1.42857142857143;4.5;1.6;3;2.33333333333333;2.2;5;3;3.25;2
129;"4";"8";"Meisje";13.26795;"Nederland";"Nederlander";"Havo";"completed";"other";4;8;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"5 keer  per week";3;5;"Nooit";"Nooit";"Nooit";"Nooit";0;0;0;0;"INAL1W1,INAL2W1,INAL3W1,INAL4W1";"none";229;3;NA;NA;5;3;5;92;104;1;1;1;100;2.85714285714286;2;2.75;1.8;3.88888888888889;4.33333333333333;2;5;4;4.5;1.5
268;"13";"8";"Jongen";13.7636;"Nederland";"Nederlander";"Vmbo";"completed";NA;7;1;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";6;20;"7 dagen";"1 dag";"1 dag";"1 dag";5;1;1;1;NA;"multiple";560;4;7;5;5;3;20;94;NA;0;1;0;88;4.14285714285714;1.28571428571429;4.25;1;3.11111111111111;5.33333333333333;3.4;4.75;2;2.75;1
90;"16";"8";"Meisje";13.26829;"Nederland";"Nederlander";"Vmbo";"completed";NA;7;1;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"4 keer  per week";3;5;"2 dagen";"1 dag";"Nooit";"Nooit";2;2;0;0;"INAL3W1";"none";141;1;7;6;1;1;18;116;97;0;1;1;100;5;1.14285714285714;5;1.8;4.55555555555556;1;1;5;2;5;1
51;"3";"8";"Meisje";13.01573;"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"completed";"smallgroup";5;6;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";2;20;"7 dagen";"Nooit";"Nooit";"Nooit";2;0;0;0;"INAL2W1";"none";35;1;NA;NA;2;1;5;102;114;1;1;1;100;3.28571428571429;2.42857142857143;2.75;3.2;3.66666666666667;5.33333333333333;1.8;3.5;2;2;2
311;"19";"8";"Meisje";13.18285;"Nederland";"Nederlander";"Vmbo";"completed";NA;6;8;"Ik heb een iPhone";"7 keer  per week";2;5;"7 dagen";"3 dagen";"7 dagen";"2 dagen";3;1;2;1;NA;"multiple";550;3;7;6;4;3;15;55;54;0;1;0;87;4.14285714285714;2.28571428571429;3.75;1.2;3;3;2.8;4.25;4;3;2.25
132;"20";"8";"Jongen";13.76338;"Nederland";"Nederlander";"Vwo (Atheneum/Gymnasium)";"completed";NA;6;1;"Ik heb een iPhone";"7 keer  per week";2;10;"7 dagen";"Nooit";"Nooit";"Nooit";2;0;0;0;"INAL5W1";"none";150;1;NA;NA;NA;NA;6;109;104;0;1;0;93;4;2;4.5;1;3.33333333333333;1.33333333333333;1.4;4;2;2.5;3
12;"27";"8";"Jongen";13.76348;"Nederland";"Nederlander";"Havo";"completed";NA;6;8;"Ik heb een Android (bijv. Samsung, Motorla, Huawei)";"7 keer  per week";2;30;"7 dagen";"Nooit";"Nooit";"Nooit";2;0;0;0;"INAL3W1,INAL4W1";"none";150;1;NA;NA;1;1;30;113;111;0;1;0;94;4;1.28571428571429;4.5;1.2;3.77777777777778;1;2;4.5;4;2.75;1.25
